format,category,playerName,countryName,ranking
T20,Team,Player1,Country1,1
T20,Team,Player2,Country2,2
T20,Team,Player3,Country3,3
T20,Team,Player4,Country4,4
T20,Team,Player5,Country5,5
T20,Team,Player6,Country6,6
T20,Team,Player7,Country7,7
T20,Team,Player8,Country8,8
T20,Team,Player9,Country9,9
T20,Team,Player10,Country10,10
T20,Batting,Player1,Country1,1
T20,Batting,Player2,Country2,2
T20,Batting,Player3,Country3,3
T20,Batting,Player4,Country4,4
T20,Batting,Player5,Country5,5
T20,Batting,Player6,Country6,6
T20,Batting,Player7,Country7,7
T20,Batting,Player8,Country8,8
T20,Batting,Player9,Country9,9
T20,Batting,Player10,Country10,10
T20,Bowling,Player1,Country1,1
T20,Bowling,Player2,Country2,2
T20,Bowling,Player3,Country3,3
T20,Bowling,Player4,Country4,4
T20,Bowling,Player5,Country5,5
T20,Bowling,Player6,Country6,6
T20,Bowling,Player7,Country7,7
T20,Bowling,Player8,Country8,8
T20,Bowling,Player9,Country9,9
T20,Bowling,Player10,Country10,10
T20,All-rounder,Player1,Country1,1
T20,All-rounder,Player2,Country2,2
T20,All-rounder,Player3,Country3,3
T20,All-rounder,Player4,Country4,4
T20,All-rounder,Player5,Country5,5
T20,All-rounder,Player6,Country6,6
T20,All-rounder,Player7,Country7,7
T20,All-rounder,Player8,Country8,8
T20,All-rounder,Player9,Country9,9
T20,All-rounder,Player10,Country10,10
ODI,Team,Player1,Country1,1
ODI,Team,Player2,Country2,2
ODI,Team,Player3,Country3,3
ODI,Team,Player4,Country4,4
ODI,Team,Player5,Country5,5
ODI,Team,Player6,Country6,6
ODI,Team,Player7,Country7,7
ODI,Team,Player8,Country8,8
ODI,Team,Player9,Country9,9
ODI,Team,Player10,Country10,10
ODI,Batting,Player1,Country1,1
ODI,Batting,Player2,Country2,2
ODI,Batting,Player3,Country3,3
ODI,Batting,Player4,Country4,4
ODI,Batting,Player5,Country5,5
ODI,Batting,Player6,Country6,6
ODI,Batting,Player7,Country7,7
ODI,Batting,Player8,Country8,8
ODI,Batting,Player9,Country9,9
ODI,Batting,Player10,Country10,10
ODI,Bowling,Player1,Country1,1
ODI,Bowling,Player2,Country2,2
ODI,Bowling,Player3,Country3,3
ODI,Bowling,Player4,Country4,4
ODI,Bowling,Player5,Country5,5
ODI,Bowling,Player6,Country6,6
ODI,Bowling,Player7,Country7,7
ODI,Bowling,Player8,Country8,8
ODI,Bowling,Player9,Country9,9
ODI,Bowling,Player10,Country10,10
ODI,All-rounder,Player1,Country1,1
ODI,All-rounder,Player2,Country2,2
ODI,All-rounder,Player3,Country3,3
ODI,All-rounder,Player4,Country4,4
ODI,All-rounder,Player5,Country5,5
ODI,All-rounder,Player6,Country6,6
ODI,All-rounder,Player7,Country7,7
ODI,All-rounder,Player8,Country8,8
ODI,All-rounder,Player9,Country9,9
ODI,All-rounder,Player10,Country10,10
Test,Team,Player1,Country1,1
Test,Team,Player2,Country2,2
Test,Team,Player3,Country3,3
Test,Team,Player4,Country4,4
Test,Team,Player5,Country5,5
Test,Team,Player6,Country6,6
Test,Team,Player7,Country7,7
Test,Team,Player8,Country8,8
Test,Team,Player9,Country9,9
Test,Team,Player10,Country10,10
Test,Batting,Player1,Country1,1
Test,Batting,Player2,Country2,2
Test,Batting,Player3,Country3,3
Test,Batting,Player4,Country4,4
Test,Batting,Player5,Country5,5
Test,Batting,Player6,Country6,6
Test,Batting,Player7,Country7,7
Test,Batting,Player8,Country8,8
Test,Batting,Player9,Country9,9
Test,Batting,Player10,Country10,10
Test,Bowling,Player1,Country1,1
Test,Bowling,Player2,Country2,2
Test,Bowling,Player3,Country3,3
Test,Bowling,Player4,Country4,4
Test,Bowling,Player5,Country5,5
Test,Bowling,Player6,Country6,6
Test,Bowling,Player7,Country7,7
Test,Bowling,Player8,Country8,8
Test,Bowling,Player9,Country9,9
Test,Bowling,Player10,Country10,10
Test,All-rounder,Player1,Country1,1
Test,All-rounder,Player2,Country2,2
Test,All-rounder,Player3,Country3,3
Test,All-rounder,Player4,Country4,4
Test,All-rounder,Player5,Country5,5
Test,All-rounder,Player6,Country6,6
Test,All-rounder,Player7,Country7,7
Test,All-rounder,Player8,Country8,8
Test,All-rounder,Player9,Country9,9
Test,All-rounder,Player10,Country10,10
